Student Name,Student ID,Year,IOT,CTSD,DS,OOPS,DTI,COA,DBMS,PFSD,MPC,ASE,OS,Specialization
Student_93,1092,2,10,8,8,6,9,9,9,8,6,6,10,AI-IPA
Student_94,1093,1,9,6,10,7,7,9,10,10,8,6,7,AI-IPA
Student_95,1094,2,8,6,8,10,6,6,7,8,8,6,7,AI-IPA
Student_96,1095,2,10,7,6,10,10,10,9,7,7,6,8,AI-IPA
Student_97,1096,2,10,10,7,9,6,7,8,7,10,9,9,AI-IPA
Student_98,1097,1,8,10,10,8,10,8,7,6,9,6,8,Cyber Security
Student_99,1098,2,7,6,6,6,8,6,7,7,8,9,8,AI-IPA
Student_100,1099,2,10,7,6,10,8,6,10,9,8,6,9,Cyber Security
Student_101,1100,1,6,9,10,10,6,6,7,6,6,10,10,Cyber Security
Student_102,1101,1,9,9,9,6,6,6,8,10,9,8,8,Cloud
Student_103,1102,2,8,8,8,8,10,6,10,6,6,8,8,Cyber Security
Student_104,1103,1,8,8,10,10,6,10,9,6,7,8,8,Cyber Security
Student_105,1104,2,9,9,8,8,6,6,10,8,10,9,6,Cyber Security
Student_106,1105,2,9,7,9,10,8,8,9,8,9,9,7,Cyber Security
Student_107,1106,1,7,10,10,8,10,7,9,10,9,8,9,AI-IPA
Student_108,1107,1,10,7,6,9,10,7,10,6,7,7,9,Cyber Security
Student_109,1108,1,9,9,10,10,7,6,10,10,10,9,6,Cloud
Student_110,1109,1,10,7,10,9,9,9,6,9,9,6,7,Cloud
Student_111,1110,1,10,6,7,9,7,6,7,9,7,8,10,Cloud
Student_112,1111,2,9,9,9,6,7,7,6,7,6,10,6,AI-IPA
Student_113,1112,2,7,6,6,8,10,9,6,6,10,8,9,Cyber Security
Student_114,1113,1,6,7,8,8,6,6,8,10,6,9,9,AI-IPA
Student_115,1114,2,9,7,7,6,7,9,6,7,10,9,9,AI-IPA
Student_116,1115,1,9,8,6,10,7,8,6,6,9,6,7,AI-IPA
Student_117,1116,2,9,9,10,9,8,8,7,10,8,7,10,AI-IPA
Student_118,1117,1,8,6,10,8,10,8,10,9,9,8,6,AI-IPA
Student_119,1118,2,8,10,9,10,7,6,8,8,6,7,8,AI-IPA
Student_120,1119,1,9,9,10,9,8,9,6,9,8,6,10,AI-IPA
Student_121,1120,2,7,8,10,6,8,9,7,7,10,7,9,Cyber Security
Student_122,1121,1,6,9,10,7,9,8,9,7,8,6,8,AI-IPA
Student_123,1122,2,8,8,8,6,8,9,10,6,8,8,10,AI-IPA
Student_124,1123,1,9,9,10,9,8,10,9,9,9,6,10,Cloud
Student_125,1124,1,8,10,fs,9,10,7,10,8,9,8,10,AI-IPA
Student_126,1125,1,9,7,7,10,9,7,6,7,7,9,9,Cloud
Student_127,1126,1,6,6,8,7,7,6,7,10,8,7,7,Cyber Security
Student_128,1127,1,10,10,6,8,10,9,7,8,8,6,6,Cyber Security
Student_129,1128,2,7,10,6,10,9,8,7,8,6,6,6,Cyber Security
Student_130,1129,1,8,8,6,10,9,7,8,9,7,8,6,Cloud
Student_131,1130,2,6,6,6,7,6,7,9,10,6,9,9,AI-IPA
Student_132,1131,1,8,6,6,6,7,8,6,7,10,7,9,Cloud
Student_133,1132,2,8,6,8,6,8,7,7,6,6,8,9,Cyber Security
Student_134,1133,2,7,6,6,7,10,7,6,10,6,8,10,Cloud
Student_135,1134,1,9,8,9,7,7,9,9,9,7,7,8,AI-IPA
Student_136,1135,1,9,6,7,7,7,9,6,8,8,7,8,Cyber Security
Student_137,1136,2,10,10,8,7,6,7,6,8,9,6,8,Cyber Security
Student_138,1137,2,7,10,10,6,9,6,7,6,8,7,6,AI-IPA
Student_139,1138,1,10,6,10,10,7,9,6,7,8,10,6,Cloud
Student_140,1139,1,6,7,7,7,7,9,9,10,7,7,10,Cloud
Student_141,1140,2,9,9,8,10,6,10,10,10,9,7,9,AI-IPA
Student_142,1141,1,8,8,9,9,6,6,10,10,7,9,7,AI-IPA
Student_143,1142,2,9,8,6,7,9,8,9,7,8,6,8,Cloud
Student_144,1143,1,6,9,6,10,8,8,9,6,10,7,7,Cloud
Student_145,1144,2,7,7,10,9,9,6,6,10,8,7,7,Cyber Security
Student_146,1145,2,7,7,10,8,9,7,7,8,7,6,9,Cyber Security
Student_147,1146,2,10,8,10,10,8,7,10,8,9,10,8,Cyber Security
Student_148,1147,2,7,9,7,6,7,9,7,6,7,7,9,Cyber Security
Student_149,1148,1,7,10,9,10,7,8,8,9,7,7,8,AI-IPA
Student_150,1149,1,8,9,7,8,7,9,7,8,8,9,7,Cloud
Student_151,1150,1,6,8,9,10,8,8,8,9,8,7,10,Cloud
Student_152,1151,1,6,8,10,9,10,8,10,7,9,6,9,AI-IPA
Student_153,1152,1,8,10,7,7,7,6,7,8,7,8,9,Cyber Security
Student_154,1153,1,7,10,10,7,7,8,10,8,9,9,6,AI-IPA
Student_155,1154,1,10,9,10,9,8,10,7,6,7,7,7,Cyber Security
Student_156,1155,2,9,7,10,10,9,9,7,10,10,8,10,Cloud
Student_157,1156,2,7,10,6,8,8,10,6,8,6,8,7,AI-IPA
Student_158,1157,1,10,8,6,9,6,10,6,10,6,9,7,AI-IPA
Student_159,1158,1,8,9,6,7,8,8,8,7,8,6,7,AI-IPA
Student_160,1159,1,9,6,9,7,6,8,8,9,10,8,8,AI-IPA
Student_161,1160,2,8,10,9,7,10,10,6,7,9,10,8,Cyber Security
Student_162,1161,1,9,9,8,9,10,9,7,8,10,10,10,AI-IPA
Student_163,1162,1,6,6,7,9,7,7,7,9,10,8,10,AI-IPA
Student_164,1163,1,9,6,10,6,8,9,8,6,6,6,8,AI-IPA
Student_165,1164,2,10,10,8,7,6,8,10,8,10,9,6,Cloud
Student_166,1165,1,7,6,6,6,7,8,6,10,6,7,7,Cloud
Student_167,1166,1,10,9,10,8,6,7,6,9,8,8,7,AI-IPA
Student_168,1167,1,8,9,8,9,8,7,8,6,8,9,8,Cyber Security
Student_169,1168,1,9,6,9,10,9,6,9,8,6,7,7,AI-IPA
Student_170,1169,1,9,8,6,9,6,9,8,8,6,6,10,Cyber Security
Student_171,1170,2,8,8,9,10,7,10,6,9,10,10,6,Cloud
Student_172,1171,1,9,8,7,7,7,9,8,6,6,8,10,AI-IPA
Student_173,1172,1,6,7,10,6,8,7,6,8,6,7,6,Cloud
Student_174,1173,1,10,9,10,6,7,9,10,9,9,9,7,Cyber Security
Student_175,1174,2,6,6,10,7,6,10,7,6,8,6,6,Cloud
Student_176,1175,1,10,7,10,9,8,7,7,10,6,6,9,Cyber Security
Student_177,1176,2,6,6,6,10,9,8,6,10,8,6,9,AI-IPA
Student_178,1177,1,10,6,7,10,9,7,9,8,7,8,10,Cloud
Student_179,1178,2,10,10,8,8,10,6,7,7,7,10,7,Cyber Security
Student_180,1179,1,7,7,7,7,6,10,10,8,7,8,6,Cloud
Student_181,1180,1,6,6,8,6,7,6,9,10,7,10,10,Cloud
Student_182,1181,2,7,10,10,10,9,9,9,8,6,8,10,Cloud
Student_183,1182,1,7,6,8,10,10,9,7,8,10,10,9,AI-IPA
Student_184,1183,2,8,6,7,7,6,10,6,8,10,6,6,Cyber Security
Student_185,1184,1,10,7,10,8,7,8,6,9,8,8,9,Cloud
Student_186,1185,2,6,6,10,7,8,7,7,10,7,10,9,AI-IPA
Student_187,1186,1,9,6,6,9,10,8,10,6,8,9,10,Cyber Security
Student_188,1187,2,6,8,10,8,9,6,10,7,6,6,10,AI-IPA
Student_189,1188,2,10,6,9,7,7,9,10,9,10,7,8,AI-IPA
Student_190,1189,2,8,10,9,8,6,7,9,8,7,10,9,Cyber Security
Student_191,1190,2,10,10,10,7,8,6,6,8,6,10,6,Cloud
Student_192,1191,1,10,8,7,6,10,8,6,8,7,8,10,Cyber Security
Student_193,1192,2,10,10,6,9,9,10,7,9,8,7,7,Cloud
Student_194,1193,2,8,6,9,7,7,7,10,8,8,7,7,Cyber Security
Student_195,1194,2,9,7,10,8,6,10,9,6,7,9,6,Cyber Security
Student_196,1195,2,9,9,10,7,9,10,7,9,9,6,10,Cyber Security
Student_197,1196,1,7,6,9,6,9,10,7,10,9,8,7,Cyber Security
Student_198,1197,1,10,9,9,6,6,6,7,7,7,6,6,AI-IPA
Student_199,1198,2,6,10,9,7,6,9,8,8,10,9,7,Cyber Security
Student_200,1199,2,7,6,6,8,9,7,7,9,9,8,7,AI-IPA
Student_201,1200,2,8,9,10,8,8,7,10,9,8,9,8,Cloud
Student_202,1201,2,8,9,10,6,9,8,7,9,7,8,9,Cloud
Student_203,1202,2,10,8,9,10,10,8,7,10,6,9,7,Cloud
Student_204,1203,2,9,10,10,9,9,10,8,8,8,9,10,Cloud
Student_205,1204,1,8,7,6,10,7,9,7,9,9,7,9,Cyber Security
Student_206,1205,2,6,9,8,7,10,6,9,9,7,6,8,Cyber Security
Student_207,1206,2,9,6,8,9,8,6,8,8,7,10,7,AI-IPA
Student_208,1207,2,8,6,8,9,8,10,9,7,7,7,9,Cloud
Student_209,1208,2,8,10,9,6,10,7,7,8,7,7,10,Cloud
Student_210,1209,1,8,8,8,6,6,8,9,8,6,10,6,AI-IPA
Student_211,1210,2,10,10,6,7,7,7,9,9,6,7,9,Cyber Security
Student_212,1211,1,10,6,9,9,7,9,6,9,7,6,7,Cloud
Student_213,1212,1,10,6,6,10,6,7,10,6,7,10,6,Cyber Security
Student_214,1213,2,6,6,10,6,6,8,9,9,10,kjh,7,Cloud
Student_215,1214,1,7,10,6,7,9,9,6,8,9,9,7,AI-IPA
Student_216,1215,2,8,10,6,9,8,9,6,10,7,7,9,AI-IPA
Student_217,1216,1,6,9,6,8,9,8,7,9,9,8,6,Cyber Security
Student_218,1217,1,9,10,8,7,10,7,6,8,10,10,10,Cloud
Student_219,1218,2,9,10,9,9,6,10,9,7,9,9,10,Cloud
Student_220,1219,1,7,8,6,6,10,9,10,7,9,8,10,AI-IPA
Student_221,1220,2,8,6,10,7,6,7,7,6,7,6,6,Cloud
Student_222,1221,1,7,8,8,7,9,10,10,6,7,9,10,AI-IPA
Student_223,1222,1,7,9,6,10,10,7,10,10,8,6,6,Cyber Security
Student_224,1223,1,8,10,8,10,6,8,6,7,7,8,7,AI-IPA
Student_225,1224,1,8,8,6,10,8,10,7,6,8,8,8,Cloud
Student_226,1225,2,7,7,7,10,6,7,9,6,8,8,10,Cyber Security
Student_227,1226,1,6,6,8,6,6,9,8,8,6,7,10,AI-IPA
Student_228,1227,1,10,7,9,10,10,7,9,9,6,9,6,Cyber Security
Student_229,1228,1,7,7,8,9,7,10,6,10,9,6,7,AI-IPA
Student_230,1229,1,7,8,8,9,8,7,8,8,6,10,6,Cloud
Student_231,1230,2,8,9,10,9,8,6,7,7,9,9,10,AI-IPA
Student_232,1231,1,8,9,6,7,10,8,6,10,10,10,10,Cyber Security
Student_233,1232,2,7,8,10,6,8,7,7,7,9,6,8,Cyber Security
Student_234,1233,1,6,9,7,10,9,10,6,10,8,6,6,AI-IPA
Student_235,1234,2,8,9,6,7,10,9,8,6,9,10,9,Cyber Security
Student_236,1235,1,6,7,8,6,7,9,6,8,9,6,7,Cyber Security
Student_237,1236,2,9,8,7,10,6,10,7,8,9,7,8,Cyber Security
Student_238,1237,2,8,9,9,7,10,6,9,10,8,10,9,Cyber Security
Student_239,1238,2,10,8,10,6,9,8,7,9,8,7,10,AI-IPA
Student_240,1239,1,9,9,10,6,10,6,9,8,6,6,9,Cyber Security
Student_241,1240,2,9,6,9,6,10,10,7,6,9,6,10,AI-IPA
Student_242,1241,1,7,7,8,6,9,9,6,7,6,10,6,Cyber Security
Student_243,1242,2,7,7,8,9,7,8,9,9,9,9,10,AI-IPA
Student_244,1243,1,8,7,7,10,8,9,10,6,6,10,9,Cyber Security
Student_245,1244,2,9,6,7,9,6,6,9,6,10,6,10,Cyber Security
Student_246,1245,1,7,9,10,6,8,7,6,7,6,7,8,AI-IPA
Student_247,1246,1,7,7,7,8,7,6,8,7,10,10,8,AI-IPA
Student_248,1247,2,9,7,10,7,8,10,6,9,7,7,6,AI-IPA
Student_249,1248,2,7,6,8,7,10,7,8,9,9,8,7,AI-IPA
Student_250,1249,2,8,10,10,8,9,8,7,9,6,9,8,Cyber Security
Student_251,1250,2,7,7,8,10,7,8,8,7,8,9,7,Cloud
Student_252,1251,1,7,6,7,9,9,6,8,10,10,7,10,Cyber Security
Student_253,1252,1,7,6,6,8,9,8,9,10,7,9,8,Cloud
Student_254,1253,2,8,10,8,7,7,10,9,8,10,10,8,AI-IPA
Student_255,1254,1,10,9,9,8,10,9,7,9,6,7,9,Cyber Security
Student_256,1255,2,10,8,6,7,9,8,7,7,9,10,8,Cyber Security
Student_257,1256,1,10,8,7,9,10,9,7,9,7,10,9,Cloud
Student_258,1257,1,10,9,9,7,6,10,10,7,7,7,10,Cloud
Student_259,1258,1,6,7,10,6,10,8,9,7,6,8,10,Cloud
Student_260,1259,2,7,7,8,10,8,8,9,10,8,8,8,AI-IPA
Student_261,1260,1,9,8,9,10,8,8,8,7,6,10,6,AI-IPA
Student_262,1261,2,7,8,7,9,6,7,7,7,10,10,6,AI-IPA
Student_263,1262,1,8,6,10,10,7,7,7,10,10,9,7,Cyber Security
Student_264,1263,1,9,10,8,9,6,8,6,8,10,9,8,AI-IPA
Student_265,1264,1,7,6,10,9,10,9,6,9,8,6,6,AI-IPA
Student_266,1265,2,9,7,7,10,6,10,6,9,6,8,9,Cyber Security
Student_267,1266,2,7,7,9,10,10,10,7,6,9,8,10,Cloud
Student_268,1267,2,6,8,7,6,8,6,6,8,8,10,10,AI-IPA
Student_269,1268,2,10,7,7,6,10,8,6,10,6,10,10,AI-IPA
Student_270,1269,1,9,7,8,7,7,8,7,6,10,8,9,Cloud
Student_271,1270,2,6,10,9,6,8,10,9,9,8,6,6,Cyber Security
Student_272,1271,1,8,10,8,7,10,10,6,9,7,6,7,Cloud
Student_273,1272,2,10,10,10,9,9,10,10,10,9,6,10,Cloud
Student_274,1273,2,10,8,8,9,9,7,9,10,10,9,9,AI-IPA
Student_275,1274,1,7,6,8,9,7,9,6,8,8,10,6,Cloud
Student_276,1275,1,6,8,6,8,10,7,8,10,10,7,6,Cloud
Student_277,1276,1,7,7,7,7,9,10,9,8,6,7,10,Cloud
Student_278,1277,1,10,9,9,6,9,6,8,9,9,7,8,AI-IPA
Student_279,1278,2,6,6,7,10,7,9,10,7,9,9,9,Cloud
Student_280,1279,1,10,8,7,6,6,9,7,10,8,9,6,Cyber Security
Student_281,1280,1,9,10,8,6,8,7,9,9,8,9,6,AI-IPA
Student_282,1281,1,7,9,9,7,8,7,9,7,7,8,8,Cyber Security
Student_283,1282,1,10,6,10,7,7,9,10,8,6,8,8,Cloud
Student_284,1283,2,6,8,7,10,7,6,8,6,9,10,9,AI-IPA
Student_285,1284,2,7,9,7,7,8,8,7,7,6,9,8,AI-IPA
Student_286,1285,2,6,7,10,6,7,7,7,7,6,10,8,AI-IPA
Student_287,1286,2,9,9,9,8,10,7,6,8,6,8,9,Cloud
Student_288,1287,2,6,7,9,10,9,6,8,9,7,10,8,AI-IPA
Student_289,1288,1,8,8,8,8,6,10,9,8,9,10,6,Cloud
Student_290,1289,2,9,10,6,7,10,7,8,10,6,9,6,AI-IPA
Student_291,1290,2,8,10,8,9,10,6,8,7,8,9,7,Cyber Security
Student_292,1291,2,7,6,7,10,7,7,6,8,9,8,9,AI-IPA
Student_293,1292,2,6,8,7,10,6,9,8,7,7,9,9,Cyber Security
Student_294,1293,1,7,9,7,7,10,10,10,9,9,8,6,Cyber Security
Student_295,1294,2,8,6,6,7,7,6,8,8,6,6,9,Cyber Security
Student_296,1295,1,8,7,8,8,6,9,9,10,6,8,9,Cloud
Student_297,1296,1,8,6,7,7,10,6,9,8,10,7,8,Cyber Security
Student_298,1297,2,8,6,7,10,9,9,8,9,9,8,6,Cloud
Student_299,1298,2,9,9,7,6,7,8,8,7,6,7,10,AI-IPA
Student_300,1299,2,9,6,7,9,9,8,8,10,10,8,7,Cloud
Student_301,1300,1,8,7,8,8,9,10,7,9,8,6,7,AI-IPA
Student_302,1301,1,9,6,6,10,10,8,10,7,9,8,6,AI-IPA
Student_303,1302,2,8,6,6,8,6,6,10,10,8,6,7,AI-IPA
Student_304,1303,1,8,8,8,10,9,8,8,7,8,7,7,AI-IPA
Student_305,1304,2,7,9,7,8,8,8,7,7,8,7,7,Cyber Security
Student_306,1305,1,8,6,9,7,9,8,7,8,10,7,7,Cyber Security
Student_307,1306,1,7,10,6,6,9,7,10,6,6,10,9,Cyber Security
Student_308,1307,1,6,10,9,8,10,10,7,6,10,8,6,Cyber Security
Student_309,1308,1,7,10,8,8,6,6,9,9,6,6,10,AI-IPA
Student_310,1309,2,6,6,9,9,7,7,8,9,6,6,8,AI-IPA
Student_311,1310,1,9,10,10,8,7,9,7,10,10,8,7,Cyber Security
Student_312,1311,1,7,10,8,6,8,10,10,8,6,9,8,Cyber Security
Student_313,1312,1,7,8,7,8,*,7,7,8,8,6,10,AI-IPA
Student_314,1313,2,10,7,8,9,10,10,10,8,8,9,8,Cyber Security
Student_315,1314,1,7,10,9,7,10,10,7,8,9,7,6,AI-IPA
Student_316,1315,1,10,9,7,6,8,9,10,10,8,9,8,Cyber Security
Student_317,1316,1,8,6,9,8,8,8,8,9,9,6,7,Cyber Security
Student_318,1317,2,6,7,8,9,6,10,10,6,8,10,7,AI-IPA
Student_319,1318,1,8,10,7,8,10,6,8,10,10,7,10,Cloud
Student_320,1319,2,9,6,9,6,8,10,6,7,7,7,10,Cyber Security
Student_321,1320,2,9,10,9,6,8,6,8,10,9,10,6,AI-IPA
Student_322,1321,2,8,8,10,6,9,9,9,6,7,9,8,Cloud
Student_323,1322,2,7,7,7,10,6,8,8,6,10,10,8,AI-IPA
Student_324,1323,1,7,8,10,10,10,6,7,8,6,6,10,Cyber Security
Student_325,1324,2,9,8,6,9,8,10,8,8,6,8,9,Cyber Security
Student_326,1325,1,6,9,8,7,10,7,10,10,6,9,6,Cyber Security
Student_327,1326,2,9,7,6,10,10,10,7,6,10,6,10,Cloud
Student_328,1327,2,7,10,10,7,9,7,7,10,6,7,6,AI-IPA
Student_329,1328,2,8,8,7,8,8,7,10,8,8,9,6,Cloud
Student_330,1329,2,9,10,6,8,7,6,7,7,9,9,9,AI-IPA
Student_331,1330,1,8,9,10,9,8,6,9,8,8,9,9,AI-IPA
Student_332,1331,1,6,10,7,6,9,8,8,9,7,6,8,AI-IPA
Student_333,1332,1,10,7,10,10,10,9,9,9,10,6,7,Cyber Security
Student_334,1333,1,6,8,9,9,6,9,9,7,8,9,7,Cloud
Student_335,1334,1,9,6,10,8,6,9,7,6,9,9,8,Cyber Security
Student_336,1335,1,10,6,7,9,10,9,7,8,7,8,10,Cloud
Student_337,1336,2,8,10,7,9,10,9,7,8,6,10,8,Cyber Security
Student_338,1337,1,7,10,7,9,9,7,9,8,10,6,8,Cloud
Student_339,1338,2,8,9,10,9,9,7,10,9,7,6,9,Cloud
Student_340,1339,1,7,10,10,6,6,8,7,7,10,7,7,Cloud
Student_341,1340,2,9,6,6,7,9,10,6,9,10,9,8,AI-IPA
Student_342,1341,1,10,6,9,10,10,9,8,9,8,8,9,AI-IPA
Student_343,1342,1,9,8,10,10,7,9,10,6,8,8,10,Cloud
Student_344,1343,2,9,10,9,7,7,6,8,7,10,9,10,AI-IPA
Student_345,1344,2,8,6,10,6,7,9,8,7,7,10,8,Cloud
Student_346,1345,2,9,9,6,6,9,6,10,7,7,7,8,AI-IPA
Student_347,1346,1,6,8,8,6,8,9,6,9,10,6,7,Cyber Security
Student_348,1347,1,9,8,10,7,9,9,10,6,7,7,9,AI-IPA
Student_349,1348,1,9,6,7,9,7,8,7,10,8,8,9,Cyber Security
Student_350,1349,1,8,6,10,10,6,9,8,8,8,10,10,Cyber Security
Student_351,1350,1,10,8,9,8,8,8,6,9,10,6,8,Cyber Security
Student_352,1351,2,8,10,9,6,7,7,10,9,10,7,10,Cyber Security
Student_353,1352,2,6,8,6,10,9,7,10,6,7,8,6,Cloud
Student_354,1353,2,10,8,10,8,10,10,10,10,6,10,10,AI-IPA
Student_355,1354,2,9,10,7,10,9,8,6,7,6,6,10,AI-IPA
Student_356,1355,2,6,9,6,7,6,6,9,10,7,6,9,Cloud
Student_357,1356,1,9,7,9,6,7,9,10,10,8,8,10,Cyber Security
Student_358,1357,1,6,7,8,9,6,8,10,6,9,8,8,Cyber Security
Student_359,1358,1,8,10,10,7,8,10,8,8,7,9,6,Cloud
Student_360,1359,1,7,9,7,8,9,6,6,10,9,9,9,Cloud
